Reviews,Sentiment
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            I was really excited to upgrade from XR to this phone and the first thing I noticed on it was the camera has scrapes around it , I almost noticed holes or something on the color pain job around it. Not sure if thatâ€™s supposed to look like that but it made me feel grossed out a little ðŸ˜«. I did notice a scrape on the side of it as well. I knows Itâ€™s a refurbished phone but I paid 550 for it and not sure if I want a refund to just buy a new one off of the Apple store.",
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R1MG4QRXOCC585_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R1MG4QRXOCC585"", ""[https://m.media-amazon.com/images/I/51Q-xN3QYUL._SL1600_.jpg, https://m.media-amazon.com/images/I/61WnRWDTDmL._SL1600_.jpg, https://m.media-amazon.com/images/I/61lP6NGjwnL._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.,
Miguel C.5.0 out of 5 stars,
Like brand new,
"Reviewed in the United States on December 29, 2019Verified Purchase",
,
"  I was very skeptical about buying a renewed  iphone. The phone arrived like a brand new iPhone, not a single dent or scratch and it has been working perfectly",
,
,
6 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Emily rangel5.0 out of 5 stars,
I got my phone,
"Reviewed in the United States on September 23, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Very nice Itâ€™s not a scam,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Emily rangel,
,
5.0 out of 5 stars,
,
                I got my phone,
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on September 23, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
            Very nice Itâ€™s not a scam,
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R2FO86A1F0LMXO_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R2FO86A1F0LMXO"", ""[https://images-na.ssl-images-amazon.com/images/I/71ctBsJRoBL._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
11 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Enrique Jimenez4.0 out of 5 stars,
iphone that last only 5 months,
"Reviewed in the United States on January 13, 2022Size: 64GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  It is a rebuilt item that claims to be new and is fine in appearance and functionality but it only lasted 5 months. I told the provider about this and he did not reply. Be careful buying in this store as there is a risk of losing your money. I have bought about 50 items in the year on Amazon which makes me a good buyer and this supplier is the only one who did not offer me anything in return,
,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Rose 1.0 out of 5 stars,
Seller needs to be more detailed,
"Reviewed in the United States on October 7, 2021Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  The iPhone 11 does not allowed to activate the SIM card. We went to our telephone provider and they told us that the SIM is block. I called our telephone provider and technician  indicated that this phone is not allowing our SIM card to activate. I do not think this phone is fully unlock to use it. So I am going to return it to the seller and hope they need to fix this issue so that customers are not wasting their time and money.,
,
,
2 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Christina Perez2.0 out of 5 stars,
Speakers,
"Reviewed in the United States on February 3, 2022Size: 64GBColor: GreenService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  The speakers donâ€™t work like they are suppose too. The battery life on the phone isnâ€™t what is should be. The phone did come with a screen protector, which is very good! The phone should at least be checked for faults before sending out at least if your going to pay the amount your paying for just my opinion at least.",
,
,
2 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Georgia M Gidney1.0 out of 5 stars,
Scam!! Do not buy from this seller.,
"Reviewed in the United States on March 27, 2021Size: 128GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Straight out of the box, the phone did not work. The seller told me I just needed to updated the phone. Jumped through hoops trying to update and reset the phone with no success.  According to Apple, the phone was over 1500 days out of warranty.  Not sure how that is possible since the iPhone 11 was released less than 2 years ago. Do not buy from this seller. It's a scam!!",
,
,
One person found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Robin O'Bryant5.0 out of 5 stars,
Damaged replaced easily. New phone is perfect!,
"Reviewed in the United States on May 10, 2020Size: 128GBColor: GreenService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  UPDATE: return and refund went smoothly. New phone works perfectly, no issues!According to Apple this is a faulty device that needs to be replaced. It randomly powers down and they say it's a logic board problem that cannot be fixed. I'm hoping the seller will contact me ASAP to exchange the phone for a product that is not damaged. If so I will update my review to reflect that. This was my Mothers' Day gift. Kind of sucks that it's broken.",
,
,
2 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.mic4mac5.0 out of 5 stars,
Awesome deal!,
"Reviewed in the United States on June 21, 2021Size: 128GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Phone works great and it arrived early with super fast shipping!  I was kinda bummed it came with only  89% battery life-Iâ€™m jealous of the people who got the 100% battery-but seriously-this is a great deal; my carrier tried to sell me the same phone for almost $1,200 with a contact. The one downside to the iPhone 11 (to me anyway) is that there is no headphone jack.  Love the facial recognition-waitâ€¦ thereâ€™s a fingerprint reader?! I had no idea.",
,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Keenan Nees1.0 out of 5 stars,
Fake IPhone broke right after return date closed.,
"Reviewed in the United States on November 2, 2021Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Right off the bat I knew something wasnâ€™t right, the speakers werenâ€™t loud, camera wasnâ€™t up to par and the screen had a light spot in it all compared to my girlfriends iPhone 11. Fast forward 4 months later shortly after the return window closed for the phone it stoped working. The cellular data is locked out making it unable to do anything until I â€œupdate itâ€ even though we fixed and update to the latest iOS. We took it to both an AT&T store and an apple store where they then informed us that itâ€™s not even a real iPhone 11. I would not recommend buying this and donâ€™t see how this is not illegal in some form of way.",
,
,
One person found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Yessie V.3.0 out of 5 stars,
Phone came in Flawless shape but battery life was not !,
"Reviewed in the United States on September 21, 2021Size: 64GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  So I was very skeptical only because this would be my second purchase through amazon . The first time was ordering for my mother in law and it turned out fine for her , physically flawless phone with great battery life. For me on the other hand the battery life was disappointing and I feel like the speakers are bit off like it was renewed from water damage possibly. Also the phone wasnâ€™t all the way unlocked . Though I can use it fine and my SIM card works , for some reason it wonâ€™t fully register with my provider online and when I chatted with an agent through Verizon they said my phone was non-Verizon device and they were unable to unlock it which again begs the question is it truly unlocked? Or was there a loophole and I can still use it properly with no problem. Will be returning only because the storage is not enough in comparison to my old phone but Iâ€™ve read that itâ€™s a hit or miss when returning these phone so wish me luck !",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yessie V.,
,
3.0 out of 5 stars,
,
                Phone came in Flawless shape but battery life was not !,
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on September 21, 2021",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            So I was very skeptical only because this would be my second purchase through amazon . The first time was ordering for my mother in law and it turned out fine for her , physically flawless phone with great battery life. For me on the other hand the battery life was disappointing and I feel like the speakers are bit off like it was renewed from water damage possibly. Also the phone wasnâ€™t all the way unlocked . Though I can use it fine and my SIM card works , for some reason it wonâ€™t fully register with my provider online and when I chatted with an agent through Verizon they said my phone was non-Verizon device and they were unable to unlock it which again begs the question is it truly unlocked? Or was there a loophole and I can still use it properly with no problem. Will be returning only because the storage is not enough in comparison to my old phone but Iâ€™ve read that itâ€™s a hit or miss when returning these phone so wish me luck !",
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R25IJI2AX7L3W3_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R25IJI2AX7L3W3"", ""[https://m.media-amazon.com/images/I/61guPDs6ccL._SL1600_.jpg, https://m.media-amazon.com/images/I/C1umac-4QwS._SL1600_.jpg, https://m.media-amazon.com/images/I/D1NioHjjcsS._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
2 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.,
Kayla5.0 out of 5 stars,
Highly recommend,
"Reviewed in the United States on May 5, 2020Size: 256GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Phone works great! Works with my straight talk plan. Battery life is wonderful! Super fast shipping!,
,
,
6 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Cristhian Lopez5.0 out of 5 stars,
Excellent purchase.  Highly recommended,
"Reviewed in the United States on September 22, 2020Size: 256GBColor: WhiteService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  This is my second time buying an Iphone from Amazon sellers.  The first phone I bought was a Iphone 6 in 2017 and up to today it lasted me with no problems but I needed a new upgraded phone with a better cÃ¡mara and all new features.  I decided to try this seller and purchased my Iphone 11 which didn't come in the original box but who cares the phone is working perfectly fine for the price I paid it is worth it.  Really happy with it.  Thank you.,
,
,
One person found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Alliyah Clarke5.0 out of 5 stars,
idk what yâ€™all talking about,
"Reviewed in the United States on November 11, 2021Size: 64GBColor: YellowService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  okay i got this phone and it came in my buildings amazon hub,, my the battery 10/10 LONG LASTING, the condition of the phone is really good no cracks, it comes with a screen protector, everything about this phone is amazing.",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Alliyah Clarke,
,
5.0 out of 5 stars,
,
                idk what yâ€™all talking about,
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on November 11, 2021",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            okay i got this phone and it came in my buildings amazon hub,, my the battery 10/10 LONG LASTING, the condition of the phone is really good no cracks, it comes with a screen protector, everything about this phone is amazing.",
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R9P09EDB0G1R0_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R9P09EDB0G1R0"", ""[https://m.media-amazon.com/images/I/71VAh4kiWlL._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
3 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Sarah Lill1.0 out of 5 stars,
Faulty Phone!,
"Reviewed in the United States on August 11, 2021Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  This phone worked fine for about 3 months and then just as the warranty ended this phone started to have a lot of problems. I was only able to use the phone on speaker phone for a while so people could hear me. I have had a lot of issues with the speaker and this week the screen started to flash with lines across the phone.  I contacted the seller this was a faulty product. It has 0 water damage, hasn't been dropped and has an otter box case. They said it is out of the warranty time period and can do nothing for me.",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sarah Lill,
,
1.0 out of 5 stars,
,
                Faulty Phone!,
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on August 11, 2021",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            This phone worked fine for about 3 months and then just as the warranty ended this phone started to have a lot of problems. I was only able to use the phone on speaker phone for a while so people could hear me. I have had a lot of issues with the speaker and this week the screen started to flash with lines across the phone.  I contacted the seller this was a faulty product. It has 0 water damage, hasn't been dropped and has an otter box case. They said it is out of the warranty time period and can do nothing for me.",
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R5NBFSCCRWHJ9_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R5NBFSCCRWHJ9"", ""[https://m.media-amazon.com/images/I/81MRljo9n1L._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
One person found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Amazon Customer5.0 out of 5 stars,
Worth it considering itâ€™s refurbished & phone company canâ€™t bill me payment plans.,
"Reviewed in the United States on April 5, 2021Size: 64GBColor: GreenService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Iâ€™m overall happy. I havenâ€™t had it for a month yet, but when receiving it, the battery was at 92% health, which is still good, for what I need. The customer service was quick to get back regarding a question I had in date of purchase. Iâ€™m not able to get Applecare since the date of purchase is not updated, but I donâ€™t need phone insurance.There werenâ€™t any scratches or knicks. I ordered, used like new. There isnâ€™t any lag when using the phone. No glitches. I did have a hard time updating the phone at first. I had to start over (transferring content from my old phone) , but once I did that, and got back to the update portion, everything went smoothly. I thought I had a lemon, but it is indeed exactly what I need. For $589, used-like new, and refurbished, this is what I hoped for.",
,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Andrew Hawkins1.0 out of 5 stars,
BIG SCRATCH ACROSS THE SCREEN!,
"Reviewed in the United States on December 29, 2021Size: 64GBColor: WhiteService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  I got a product that goes against the guarantee written in the description of the product. It says there will be no visible imperfections when the phone is held from arms length. I could see the scratch all the way down the hallway in my home. I am attempting to get a refund and they won't reimburse me the full amount that I spent. I have yet to find out if they will charge me a fee for the return of there product that was falsely advertised.,
,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Christie S.5.0 out of 5 stars,
I want people to know this when buying a high dollar.,
"Reviewed in the United States on April 17, 2020Size: 128GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  This is a great product!! The phone came in a good reliable box and was here a day before it was supposed to be. I would recommend this seller 100%,
,
,
6 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Jake O1.0 out of 5 stars,
Donâ€™t waste your time these are just repackaged used phones. Nothing â€œrenewedâ€ about them,
"Reviewed in the United States on July 7, 2021Size: 64GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Screen is covered in tiny scratches. Looks like it was kept in someoneâ€™s pocket constantly with keys. I can tell the phone was taken apart at some point because there are pry marks on the side of it. For $530 I should have just spent the extra $130 to buy a brand new one.,
,
,
One person found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Manal Abu Fardeh1.0 out of 5 stars,
Do NOT buy this,
"Reviewed in the United States on October 8, 2020Size: 64GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  It is not an IphoneIt is made in china also it is scratched,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Manal Abu Fardeh,
,
1.0 out of 5 stars,
,
                Do NOT buy this,
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on October 8, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
            It is not an IphoneIt is made in china also it is scratched,
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R1C4BKHXBPQ63N_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R1C4BKHXBPQ63N"", ""[https://images-na.ssl-images-amazon.com/images/I/61v4NEusBGL._SL1600_.jpg, https://images-na.ssl-images-amazon.com/images/I/71Gd7JInuIL._SL1600_.jpg, https://images-na.ssl-images-amazon.com/images/I/71Tn8BkyzHL._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
6 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Samantha1.0 out of 5 stars,
Does work 1 year later,
"Reviewed in the United States on October 16, 2021Size: 128GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  So my phone has been working great since I bought it in May 2020. I take great care of it. I have a case on it. It hasnâ€™t gotten wet or anything. I did the new update recently and it was fine at first but the cellular isnâ€™t working. Apple said it was a hardware issue.,
,
,
One person found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.,
Kevin L. Stephens1.0 out of 5 stars,
DO NOT DO BUSINESS WITH THIS SELLER,
"Reviewed in the United States on November 30, 2021Size: 256GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Horrendous customer service and equally bad products!!! Every device (whether purchased or warranty replaced) has been defective. Verizon even told us with this last device that they did not even recognize the serial numbers for the phone).The phone worked fine for 2 months before starting to have problems. It will not send / receive data unless connected to Wi-Fi ... even with an unlimited plan and full coverage area. Yes, we are 2 werks past the refund period ... but you would certainly think this seller would try to make things right by sending a replacement (which, by the way, would be the 4th phone in a few month period). All they do is blame Amazon for their policies (instead of giving appropriate customer service).A waste of $600!!!Be wise and DO NOT PURCHASE FROM THIS SELLER.",
,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Husky3.0 out of 5 stars,
Received phone with small crack/scratch screen,
"Reviewed in the United States on November 18, 2021Size: 64GBColor: WhiteService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  I received my refurbished iPhone and on the screen I noticed a deep scratch so I felt it with my finger and it was smooth as there was no scratch there was a screen protector over the phone when I received it so I pulled the screen protector back and yes it is a deep scratch more of a crack than a scratch small crack I wouldnâ€™t even care if it was on the back of the phone but on the front screen is unacceptable thatâ€™s the part that Iâ€™m actually going to be looking at and itâ€™s annoying and it is not cheap to replace hoping to return for a different phone or return for a full exchange  or refund me partial of my money to fix the broken screen other than that Phone seems fine hooked it up use it for a day easy check out fast shipping the usual Amazon,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Husky,
,
3.0 out of 5 stars,
,
                Received phone with small crack/scratch screen,
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on November 18, 2021",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
            I received my refurbished iPhone and on the screen I noticed a deep scratch so I felt it with my finger and it was smooth as there was no scratch there was a screen protector over the phone when I received it so I pulled the screen protector back and yes it is a deep scratch more of a crack than a scratch small crack I wouldnâ€™t even care if it was on the back of the phone but on the front screen is unacceptable thatâ€™s the part that Iâ€™m actually going to be looking at and itâ€™s annoying and it is not cheap to replace hoping to return for a different phone or return for a full exchange  or refund me partial of my money to fix the broken screen other than that Phone seems fine hooked it up use it for a day easy check out fast shipping the usual Amazon,
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R37ZOCEQIIF26R_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R37ZOCEQIIF26R"", ""[https://m.media-amazon.com/images/I/71N0ctsKSBL._SL1600_.jpg, https://m.media-amazon.com/images/I/81RRN3ACw0L._SL1600_.jpg, https://m.media-amazon.com/images/I/81TNMF7d0SL._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Lori TO5.0 out of 5 stars,
Respond quickly & great service,
"Reviewed in the United States on October 6, 2021Size: 64GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  We had an issue with calls hearing them, during the 90 day period and they were awesome in getting a replacement next day after me shipping the defective one back. They respond to messages immediately and are very nice to work with! Other than that one little issue there was nothing wrong with the phone at all in perfect condition. If I order refurbished again I will definitely be going through them",
,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.achuyt shrestha1.0 out of 5 stars,
Defective phones...ruined my sister day.,
"Reviewed in the United States on November 18, 2021Size: 64GBColor: WhiteService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  I am dissapointed.. i had 2 unlocked iphone 11 (excellent condition) purchased from here but both had major issues. First which i already replaced had touchscreen issue and now my second white iphone 11 has network issue which i purchased for my sister as gift. Reason i am really upset is because it took away smile from her face as soon as we found phone was defective after several tries  it still didnt show network..  I guess i have to replace second phone as well but it wont be same as the occasion is already passed..,
,
,
2 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.rifth5.0 out of 5 stars,
"Great phone, battery at 89% of its potential, but works great and looks great!",
"Reviewed in the United States on February 9, 2022Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Its just like a brand new phone except:  battery potential is limited at 89% and it came with a generic box and charger.  I'm totally satisfied- the price was right.  Thank you amazon.,
,
,
One person found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.pagan19614.0 out of 5 stars,
NO disappointment here,
"Reviewed in the United States on November 19, 2021Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Phone arrived sooner than expected. Came in a sturdy box, new charger.  iPhone 11 - Looked like new, no scratches, no dings. Fired it up, transferred my info & apps - and off we went.  Very impressed with it. And price was very reasonable.  I will definitely buy from them again. Already recommended them to friends and family.  **pic is representative of phone I ordered**",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
pagan1961,
,
4.0 out of 5 stars,
,
                NO disappointment here,
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on November 20, 2021",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            Phone arrived sooner than expected. Came in a sturdy box, new charger.  iPhone 11 - Looked like new, no scratches, no dings. Fired it up, transferred my info & apps - and off we went.  Very impressed with it. And price was very reasonable.  I will definitely buy from them again. Already recommended them to friends and family.  **pic is representative of phone I ordered**",
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R15BNU1OC2BAD4_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R15BNU1OC2BAD4"", ""[https://m.media-amazon.com/images/I/41tP78IarzL._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Amazon Customer1.0 out of 5 stars,
"These are not ""Minor Blemishes.""",
"Reviewed in the United States on September 30, 2021Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Phone came with screen seriously scratched. It says that they have minor blemishes that are ""not visible when held at arms length."" But that is BS as this phone had pretty serious scratches on the screen. Other blemishes would be fine, but not on the screen. Will be sending back for a replacement, since they already have my money and I know it will be a pain to get a refund.",
,
,
One person found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.VAVixen1.0 out of 5 stars,
Refurbished junk,
"Reviewed in the United States on October 2, 2020Size: 256GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Phone is defective and Iâ€™ve contacted the seller several times and have not heard back. The phone wonâ€™t stay on and is stuck in a reboot loop. My other phone is broken, hence why I ordered this one and now I have to wait to receive a refund to order another since my phone call and support requests have gone unanswered. I donâ€™t like leaving bad reviews but Iâ€™m extremely frustrated and this hasnâ€™t been resolved.",
,
,
2 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Lisa3.0 out of 5 stars,
"Great Phone, Terrible Seller",
"Reviewed in the United States on October 1, 2021Size: 64GBColor: PurpleService Provider: T-MobileProduct grade: RenewedVerified Purchase",
,
"  The phone itself is nice, there are a few tiny scratches on the corner but they're not noticeable at all. I've had it for about a week and everything works fine, the battery health is at 90% and lasts for awhile between charges which is nice. I took off a couple stars because of shipping issues; for some reason my phone was unable to be delivered the 1st time and was returned to the shipper, so I had to contact the seller to send me a new one. This whole process took about 3 weeks which was super annoying, and the seller never explained why the first phone had to be sent back. Overall I would recommend buying this phone but avoiding this seller.",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Lisa,
,
3.0 out of 5 stars,
,
"                Great Phone, Terrible Seller",
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on October 1, 2021",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
